x,y,z,ux,uy,uz,?x,?y,?z
-3.33333,9.10667,0,1.85276e-15,-4.0217e-15,3.24508e-16,4.54604e-15,1.21834e-15,-1.06868e-17
-2.5,9.33,0,1.20515e-15,-4.49564e-15,4.2301e-16,4.72714e-15,1.26687e-15,1.40662e-21
-1.66667,9.55333,0,4.07188e-16,-4.40863e-15,3.24587e-16,4.54547e-15,1.21819e-15,1.06912e-17
-0.833333,9.77667,0,-3.07439e-16,-3.85994e-15,-8.29319e-17,4.14067e-15,1.1097e-15,1.83552e-17
0,10,0,1.69405e-28,-3.45983e-15,-9.05599e-16,3.90561e-15,4.74044e-30,3.16462e-30
0.833333,9.77667,0,3.07439e-16,-3.85994e-15,-8.29319e-17,4.14067e-15,-1.1097e-15,-1.83552e-17
1.66667,9.55333,0,-4.07188e-16,-4.40863e-15,3.24587e-16,4.54547e-15,-1.21819e-15,-1.06912e-17
2.5,9.33,0,-1.20515e-15,-4.49564e-15,4.2301e-16,4.72714e-15,-1.26687e-15,-1.40662e-21
3.33333,9.10667,0,-1.85276e-15,-4.0217e-15,3.24508e-16,4.54604e-15,-1.21834e-15,1.06868e-17
4.16667,8.88333,0,-2.19727e-15,-3.18966e-15,-8.31098e-17,4.14172e-15,-1.10998e-15,1.83473e-17
5,8.66,0,-1.73075e-15,-2.99704e-15,-9.05871e-16,3.3834e-15,-1.95348e-15,-1.59711e-21
5.61,8.05,0,-1.66407e-15,-3.497e-15,-8.31797e-17,3.03186e-15,-3.03186e-15,-1.83432e-17
6.22,7.44,0,-2.55678e-15,-3.61468e-15,3.24371e-16,3.32791e-15,-3.32791e-15,-1.06859e-17
6.83,6.83,0,-3.29099e-15,-3.29099e-15,4.22834e-16,3.46065e-15,-3.46065e-15,3.9443e-31
7.44,6.22,0,-3.61468e-15,-2.55678e-15,3.24371e-16,3.32791e-15,-3.32791e-15,1.06859e-17
8.05,5.61,0,-3.497e-15,-1.66407e-15,-8.31797e-17,3.03186e-15,-3.03186e-15,1.83432e-17
8.66,5,0,-2.99704e-15,-1.73075e-15,-9.05871e-16,1.95348e-15,-3.3834e-15,1.59711e-21
8.88333,4.16667,0,-3.18966e-15,-2.19727e-15,-8.31098e-17,1.10998e-15,-4.14172e-15,-1.83473e-17
9.10667,3.33333,0,-4.0217e-15,-1.85276e-15,3.24508e-16,1.21834e-15,-4.54604e-15,-1.06868e-17
9.33,2.5,0,-4.49564e-15,-1.20515e-15,4.2301e-16,1.26687e-15,-4.72714e-15,1.40662e-21
9.55333,1.66667,0,-4.40863e-15,-4.07188e-16,3.24587e-16,1.21819e-15,-4.54547e-15,1.06912e-17
9.77667,0.833333,0,-3.85994e-15,3.07439e-16,-8.29319e-17,1.1097e-15,-4.14067e-15,1.83552e-17
10,0,0.952381,-0.000156749,-1.34804e-17,-7.53107e-06,2.02068e-17,-0.000280309,9.99771e-18
9.77667,-0.833333,0.952381,-0.00016444,9.52572e-06,1.36502e-06,-7.46606e-05,-0.000278585,-1.91796e-05
9.55333,-1.66667,0.952381,-0.000176174,2.86825e-05,4.32503e-06,-8.18146e-05,-0.000305278,-1.56849e-05
9.33,-2.5,0.952381,-0.000178429,4.78264e-05,5.11686e-06,-8.49305e-05,-0.000316904,-1.43313e-08
9.10667,-3.33333,0.952381,-0.000166926,6.32827e-05,4.32433e-06,-8.18261e-05,-0.000305321,1.56582e-05
8.88333,-4.16667,0.952381,-0.000147205,7.40078e-05,1.36344e-06,-7.46817e-05,-0.000278663,1.91603e-05
8.66,-5,0.952381,-0.000135792,7.84108e-05,-7.53399e-06,-0.000140218,-0.000242835,-2.87573e-09
8.05,-5.61,0.952381,-0.000137688,9.04986e-05,1.3627e-06,-0.000204009,-0.000204009,-1.91668e-05
7.44,-6.22,0.952381,-0.000138265,0.000112944,4.32336e-06,-0.000223532,-0.000223532,-1.56686e-05
6.83,-6.83,0.952381,-0.000130639,0.000130639,5.11561e-06,-0.000232025,-0.000232025,-1.45702e-17
6.22,-7.44,0.952381,-0.000112944,0.000138265,4.32336e-06,-0.000223532,-0.000223532,1.56686e-05
5.61,-8.05,0.952381,-9.04986e-05,0.000137688,1.3627e-06,-0.000204008,-0.000204009,1.91668e-05
5,-8.66,0.952381,-7.84108e-05,0.000135792,-7.53399e-06,-0.000242835,-0.000140218,2.87573e-09
4.16667,-8.88333,0.952381,-7.40078e-05,0.000147205,1.36344e-06,-0.000278663,-7.46817e-05,-1.91603e-05
3.33333,-9.10667,0.952381,-6.32827e-05,0.000166926,4.32433e-06,-0.000305321,-8.18261e-05,-1.56582e-05
2.5,-9.33,0.952381,-4.78264e-05,0.000178429,5.11686e-06,-0.000316904,-8.49302e-05,1.43313e-08
1.66667,-9.55333,0.952381,-2.86825e-05,0.000176174,4.32503e-06,-0.000305278,-8.18146e-05,1.56849e-05
0.833333,-9.77667,0.952381,-9.52572e-06,0.00016444,1.36502e-06,-0.000278585,-7.46607e-05,1.91796e-05
0,-10,0.952381,1.07593e-18,0.000156749,-7.53107e-06,-0.000280309,-1.20109e-18,1.0446e-17
-0.833333,-9.77667,0.952381,9.52572e-06,0.00016444,1.36502e-06,-0.000278585,7.46607e-05,-1.91796e-05
-1.66667,-9.55333,0.952381,2.86825e-05,0.000176174,4.32503e-06,-0.000305278,8.18146e-05,-1.56849e-05
-2.5,-9.33,0.952381,4.78264e-05,0.000178429,5.11686e-06,-0.000316904,8.49302e-05,-1.43313e-08
-3.33333,-9.10667,0.952381,6.32827e-05,0.000166926,4.32433e-06,-0.000305321,8.18261e-05,1.56582e-05
-4.16667,-8.88333,0.952381,7.40078e-05,0.000147205,1.36344e-06,-0.000278663,7.46817e-05,1.91603e-05
-5,-8.66,0.952381,7.84108e-05,0.000135792,-7.53399e-06,-0.000242835,0.000140218,-2.87573e-09
-5.61,-8.05,0.952381,9.04986e-05,0.000137688,1.3627e-06,-0.000204009,0.000204009,-1.91668e-05
-6.22,-7.44,0.952381,0.000112944,0.000138265,4.32336e-06,-0.000223532,0.000223532,-1.56686e-05
-6.83,-6.83,0.952381,0.000130639,0.000130639,5.11561e-06,-0.000232025,0.000232025,-2.41023e-18
-7.44,-6.22,0.952381,0.000138265,0.000112944,4.32336e-06,-0.000223532,0.000223532,1.56686e-05
-8.05,-5.61,0.952381,0.000137688,9.04986e-05,1.3627e-06,-0.000204009,0.000204009,1.91668e-05
-8.66,-5,0.952381,0.000135792,7.84108e-05,-7.53399e-06,-0.000140218,0.000242835,2.87573e-09
-8.88333,-4.16667,0.952381,0.000147205,7.40078e-05,1.36344e-06,-7.46817e-05,0.000278663,-1.91603e-05
-9.10667,-3.33333,0.952381,0.000166926,6.32827e-05,4.32433e-06,-8.18261e-05,0.000305321,-1.56582e-05
-9.33,-2.5,0.952381,0.000178429,4.78264e-05,5.11686e-06,-8.49302e-05,0.000316904,1.43313e-08
-9.55333,-1.66667,0.952381,0.000176174,2.86825e-05,4.32503e-06,-8.18146e-05,0.000305278,1.56849e-05
-9.77667,-0.833333,0.952381,0.00016444,9.52572e-06,1.36502e-06,-7.46604e-05,0.000278585,1.91796e-05
-10,0,0.952381,0.000156749,-1.45593e-17,-7.53107e-06,1.99358e-17,0.000280309,-1.81992e-18
-9.77667,0.833333,0.952381,0.00016444,-9.52572e-06,1.36502e-06,7.46606e-05,0.000278585,-1.91796e-05
-9.55333,1.66667,0.952381,0.000176174,-2.86825e-05,4.32503e-06,8.18146e-05,0.000305278,-1.56849e-05
-9.33,2.5,0.952381,0.000178429,-4.78264e-05,5.11686e-06,8.49302e-05,0.000316904,-1.43313e-08
-9.10667,3.33333,0.952381,0.000166926,-6.32827e-05,4.32433e-06,8.18261e-05,0.000305321,1.56582e-05
-8.88333,4.16667,0.952381,0.000147205,-7.40078e-05,1.36344e-06,7.46817e-05,0.000278663,1.91603e-05
-8.66,5,0.952381,0.000135792,-7.84108e-05,-7.53399e-06,0.000140218,0.000242835,-2.87573e-09
-8.05,5.61,0.952381,0.000137688,-9.04986e-05,1.3627e-06,0.000204009,0.000204009,-1.91668e-05
-7.44,6.22,0.952381,0.000138265,-0.000112944,4.32336e-06,0.000223532,0.000223532,-1.56686e-05
-6.83,6.83,0.952381,0.000130639,-0.000130639,5.11561e-06,0.000232025,0.000232025,2.10488e-19
-6.22,7.44,0.952381,0.000112944,-0.000138265,4.32336e-06,0.000223532,0.000223532,1.56686e-05
-5.61,8.05,0.952381,9.04986e-05,-0.000137688,1.3627e-06,0.000204008,0.000204009,1.91668e-05
-5,8.66,0.952381,7.84108e-05,-0.000135792,-7.53399e-06,0.000242835,0.000140218,2.87573e-09
-4.16667,8.88333,0.952381,7.40078e-05,-0.000147205,1.36344e-06,0.000278663,7.46817e-05,-1.91603e-05
-3.33333,9.10667,0.952381,6.32827e-05,-0.000166926,4.32433e-06,0.000305321,8.18261e-05,-1.56582e-05
-2.5,9.33,0.952381,4.78264e-05,-0.000178429,5.11686e-06,0.000316904,8.49306e-05,1.43313e-08
-1.66667,9.55333,0.952381,2.86825e-05,-0.000176174,4.32503e-06,0.000305278,8.18146e-05,1.56849e-05
-0.833333,9.77667,0.952381,9.52572e-06,-0.00016444,1.36502e-06,0.000278585,7.46607e-05,1.91796e-05
0,10,0.952381,2.97325e-18,-0.000156749,-7.53107e-06,0.000280309,2.89999e-18,-4.27912e-18
0.833333,9.77667,0.952381,-9.52572e-06,-0.00016444,1.36502e-06,0.000278585,-7.46607e-05,-1.91796e-05
1.66667,9.55333,0.952381,-2.86825e-05,-0.000176174,4.32503e-06,0.000305278,-8.18146e-05,-1.56849e-05
2.5,9.33,0.952381,-4.78264e-05,-0.000178429,5.11686e-06,0.000316904,-8.49302e-05,-1.43313e-08
3.33333,9.10667,0.952381,-6.32827e-05,-0.000166926,4.32433e-06,0.000305321,-8.18261e-05,1.56582e-05
4.16667,8.88333,0.952381,-7.40078e-05,-0.000147205,1.36344e-06,0.000278663,-7.46818e-05,1.91603e-05
5,8.66,0.952381,-7.84108e-05,-0.000135792,-7.53399e-06,0.000242835,-0.000140218,-2.87573e-09
5.61,8.05,0.952381,-9.04986e-05,-0.000137688,1.3627e-06,0.000204009,-0.000204009,-1.91668e-05
6.22,7.44,0.952381,-0.000112944,-0.000138265,4.32336e-06,0.000223532,-0.000223532,-1.56686e-05
6.83,6.83,0.952381,-0.000130639,-0.000130639,5.11561e-06,0.000232025,-0.000232025,-4.06576e-18
7.44,6.22,0.952381,-0.000138265,-0.000112944,4.32336e-06,0.000223532,-0.000223532,1.56686e-05
8.05,5.61,0.952381,-0.000137688,-9.04986e-05,1.3627e-06,0.000204009,-0.000204009,1.91668e-05
8.66,5,0.952381,-0.000135792,-7.84108e-05,-7.53399e-06,0.000140218,-0.000242835,2.87573e-09
8.88333,4.16667,0.952381,-0.000147205,-7.40078e-05,1.36344e-06,7.46817e-05,-0.000278663,-1.91603e-05
9.10667,3.33333,0.952381,-0.000166926,-6.32827e-05,4.32433e-06,8.18261e-05,-0.000305321,-1.56582e-05
9.33,2.5,0.952381,-0.000178429,-4.78264e-05,5.11686e-06,8.49302e-05,-0.000316904,1.43313e-08
9.55333,1.66667,0.952381,-0.000176174,-2.86825e-05,4.32503e-06,8.18146e-05,-0.000305278,1.56849e-05
9.77667,0.833333,0.952381,-0.00016444,-9.52572e-06,1.36502e-06,7.46606e-05,-0.000278585,1.91796e-05
10,0,1.90476,-0.000460451,-2.93763e-17,-5.67671e-06,1.75353e-17,-0.000331087,3.66215e-17
9.77667,-0.833333,1.90476,-0.000478913,4.64434e-05,6.69434e-06,-8.84424e-05,-0.000330009,-5.49527e-05
9.55333,-1.66667,1.90476,-0.000513005,9.64079e-05,1.17258e-05,-9.68148e-05,-0.000361249,-4.33231e-05
9.33,-2.5,1.90476,-0.000521871,0.000139877,1.3086e-05,-0.000100379,-0.000374552,-4.46745e-08
9.10667,-3.33333,1.90476,-0.000492528,0.000173106,1.17244e-05,-9.68301e-05,-0.000361306,4.32405e-05
8.88333,-4.16667,1.90476,-0.00043808,0.00019934,6.69126e-06,-8.84705e-05,-0.000330114,5.48928e-05
8.66,-5,1.90476,-0.0003989,0.000230332,-5.68224e-06,-0.000165625,-0.00028684,-1.29878e-08
8.05,-5.61,1.90476,-0.000391663,0.000279771,6.69002e-06,-0.000241679,-0.000241679,-5.49189e-05
7.44,-6.22,1.90476,-0.000396183,0.000340055,1.17226e-05,-0.000264529,-0.000264529,-4.32755e-05
6.83,-6.83,1.90476,-0.000382101,0.000382101,1.30837e-05,-0.000274245,-0.000274245,-4.72986e-17
6.22,-7.44,1.90476,-0.000340055,0.000396183,1.17226e-05,-0.000264529,-0.000264529,4.32755e-05
5.61,-8.05,1.90476,-0.000279771,0.000391663,6.69002e-06,-0.000241679,-0.000241679,5.49189e-05
5,-8.66,1.90476,-0.000230332,0.0003989,-5.68224e-06,-0.00028684,-0.000165625,1.29878e-08
4.16667,-8.88333,1.90476,-0.00019934,0.00043808,6.69126e-06,-0.000330114,-8.84705e-05,-5.48928e-05
3.33333,-9.10667,1.90476,-0.000173106,0.000492528,1.17244e-05,-0.000361306,-9.68301e-05,-4.32405e-05
2.5,-9.33,1.90476,-0.000139877,0.000521871,1.3086e-05,-0.000374552,-0.00010038,4.46745e-08
1.66667,-9.55333,1.90476,-9.64079e-05,0.000513005,1.17258e-05,-0.000361249,-9.68148e-05,4.33231e-05
0.833333,-9.77667,1.90476,-4.64434e-05,0.000478913,6.69434e-06,-0.000330009,-8.84425e-05,5.49527e-05
0,-10,1.90476,7.4532e-19,0.000460451,-5.67671e-06,-0.000331087,-1.0427e-18,2.92983e-17
-0.833333,-9.77667,1.90476,4.64434e-05,0.000478913,6.69434e-06,-0.000330009,8.84421e-05,-5.49527e-05
-1.66667,-9.55333,1.90476,9.64079e-05,0.000513005,1.17258e-05,-0.000361249,9.68148e-05,-4.33231e-05
-2.5,-9.33,1.90476,0.000139877,0.000521871,1.3086e-05,-0.000374552,0.00010038,-4.46745e-08
-3.33333,-9.10667,1.90476,0.000173106,0.000492528,1.17244e-05,-0.000361306,9.68301e-05,4.32405e-05
-4.16667,-8.88333,1.90476,0.00019934,0.00043808,6.69126e-06,-0.000330114,8.84704e-05,5.48928e-05
-5,-8.66,1.90476,0.000230332,0.0003989,-5.68224e-06,-0.00028684,0.000165625,-1.29878e-08
